Filename,Camera View,Activity Type,Start Time,End Time,Label,Appearance Block
Dashboard_user_id_25470_5,Dashboard,Distracted Behavior,0:00:10,0:00:32,7,None
,Dashboard,Distracted Behavior,0:00:52,0:00:54,4,None
,Dashboard,Distracted Behavior,0:01:15,0:01:34,17,None
,Dashboard,Distracted Behavior,0:01:45,0:02:02,13,None
,Dashboard,Distracted Behavior,0:02:13,0:02:28,12,None
,Dashboard,Distracted Behavior,0:02:39,0:03:05,14,None
,Dashboard,Distracted Behavior,0:03:15,0:03:31,1,None
,Dashboard,Distracted Behavior,0:03:36,0:03:58,15,None
,Dashboard,Distracted Behavior,0:04:06,0:04:22,11,None
,Dashboard,Distracted Behavior,0:04:28,0:04:46,2,None
,Dashboard,Distracted Behavior,0:04:54,0:05:04,10,None
,Dashboard,Distracted Behavior,0:05:14,0:05:34,3,None
,Dashboard,Distracted Behavior,0:05:42,0:06:00,0,None
,Dashboard,Distracted Behavior,0:06:07,0:06:33,6,None
,Dashboard,Distracted Behavior,0:06:39,0:06:52,9,None
,Dashboard,Distracted Behavior,0:07:04,0:07:34,5,None
,Dashboard,Distracted Behavior,0:07:40,0:07:50,8,None
,Dashboard,Distracted Behavior,0:07:59,0:08:19,16,None
Dashboard_user_id_25470_7,Dashboard,Distracted Behavior,0:00:09,0:00:35,7,Hat
,Dashboard,Distracted Behavior,0:00:44,0:01:02,4,Hat
,Dashboard,Distracted Behavior,0:01:17,0:01:36,17,Hat
,Dashboard,Distracted Behavior,0:01:46,0:01:54,13,Hat
,Dashboard,Distracted Behavior,0:02:21,0:02:23,12,Hat
,Dashboard,Distracted Behavior,0:02:41,0:02:47,14,Hat
,Dashboard,Distracted Behavior,0:03:15,0:03:33,1,Hat
,Dashboard,Distracted Behavior,0:03:37,0:04:00,15,Hat
,Dashboard,Distracted Behavior,0:04:07,0:04:21,11,Hat
,Dashboard,Distracted Behavior,0:04:28,0:04:46,2,Hat
,Dashboard,Distracted Behavior,0:04:55,0:05:05,10,Hat
,Dashboard,Distracted Behavior,0:05:09,0:05:37,3,Hat
,Dashboard,Distracted Behavior,0:05:45,0:06:00,0,Hat
,Dashboard,Distracted Behavior,0:06:06,0:06:40,6,Hat
,Dashboard,Distracted Behavior,0:06:44,0:07:01,9,Hat
,Dashboard,Distracted Behavior,0:07:05,0:07:37,5,Hat
,Dashboard,Distracted Behavior,0:07:39,0:07:52,8,Hat
,Dashboard,Distracted Behavior,0:08:00,0:08:17,16,Hat
Rear_view_user_id_25470_5,Rearview,Distracted Behavior,0:00:10,0:00:32,7,None
,Rearview,Distracted Behavior,0:00:52,0:00:54,4,None
,Rearview,Distracted Behavior,0:01:15,0:01:34,17,None
,Rearview,Distracted Behavior,0:01:45,0:02:02,13,None
,Rearview,Distracted Behavior,0:02:13,0:02:28,12,None
,Rearview,Distracted Behavior,0:02:39,0:03:05,14,None
,Rearview,Distracted Behavior,0:03:15,0:03:31,1,None
,Rearview,Distracted Behavior,0:03:36,0:03:58,15,None
,Rearview,Distracted Behavior,0:04:06,0:04:22,11,None
,Rearview,Distracted Behavior,0:04:28,0:04:46,2,None
,Rearview,Distracted Behavior,0:04:54,0:05:04,10,None
,Rearview,Distracted Behavior,0:05:14,0:05:34,3,None
,Rearview,Distracted Behavior,0:05:42,0:06:00,0,None
,Rearview,Distracted Behavior,0:06:07,0:06:33,6,None
,Rearview,Distracted Behavior,0:06:39,0:06:52,9,None
,Rearview,Distracted Behavior,0:07:04,0:07:34,5,None
,Rearview,Distracted Behavior,0:07:40,0:07:50,8,None
,Rearview,Distracted Behavior,0:07:59,0:08:19,16,None
Rear_view_user_id_25470_7,Rearview,Distracted Behavior,0:00:09,0:00:35,7,Hat
,Rearview,Distracted Behavior,0:00:44,0:01:02,4,Hat
,Rearview,Distracted Behavior,0:01:17,0:01:36,17,Hat
,Rearview,Distracted Behavior,0:01:46,0:01:54,13,Hat
,Rearview,Distracted Behavior,0:02:21,0:02:23,12,Hat
,Rearview,Distracted Behavior,0:02:41,0:02:47,14,Hat
,Rearview,Distracted Behavior,0:03:15,0:03:33,1,Hat
,Rearview,Distracted Behavior,0:03:37,0:04:00,15,Hat
,Rearview,Distracted Behavior,0:04:07,0:04:21,11,Hat
,Rearview,Distracted Behavior,0:04:28,0:04:46,2,Hat
,Rearview,Distracted Behavior,0:04:55,0:05:05,10,Hat
,Rearview,Distracted Behavior,0:05:09,0:05:37,3,Hat
,Rearview,Distracted Behavior,0:05:45,0:06:00,0,Hat
,Rearview,Distracted Behavior,0:06:06,0:06:40,6,Hat
,Rearview,Distracted Behavior,0:06:44,0:07:01,9,Hat
,Rearview,Distracted Behavior,0:07:05,0:07:37,5,Hat
,Rearview,Distracted Behavior,0:07:39,0:07:52,8,Hat
,Rearview,Distracted Behavior,0:08:00,0:08:17,16,Hat
Right_side_window_user_id_25470_5,Rightside Window,Distracted Behavior,0:00:10,0:00:32,7,None
,Rightside Window,Distracted Behavior,0:00:52,0:00:54,4,None
,Rightside Window,Distracted Behavior,0:01:15,0:01:34,17,None
,Rightside Window,Distracted Behavior,0:01:45,0:02:02,13,None
,Rightside Window,Distracted Behavior,0:02:13,0:02:28,12,None
,Rightside Window,Distracted Behavior,0:02:39,0:03:05,14,None
,Rightside Window,Distracted Behavior,0:03:15,0:03:31,1,None
,Rightside Window,Distracted Behavior,0:03:36,0:03:58,15,None
,Rightside Window,Distracted Behavior,0:04:06,0:04:22,11,None
,Rightside Window,Distracted Behavior,0:04:28,0:04:46,2,None
,Rightside Window,Distracted Behavior,0:04:54,0:05:04,10,None
,Rightside Window,Distracted Behavior,0:05:14,0:05:34,3,None
,Rightside Window,Distracted Behavior,0:05:42,0:06:00,0,None
,Rightside Window,Distracted Behavior,0:06:07,0:06:33,6,None
,Rightside Window,Distracted Behavior,0:06:39,0:06:52,9,None
,Rightside Window,Distracted Behavior,0:07:04,0:07:34,5,None
,Rightside Window,Distracted Behavior,0:07:40,0:07:50,8,None
,Rightside Window,Distracted Behavior,0:07:59,0:08:19,16,None
Right_side_window_user_id_25470_7,Rightside Window,Distracted Behavior,0:00:09,0:00:35,7,Hat
,Rightside Window,Distracted Behavior,0:00:44,0:01:02,4,Hat
,Rightside Window,Distracted Behavior,0:01:17,0:01:36,17,Hat
,Rightside Window,Distracted Behavior,0:01:46,0:01:54,13,Hat
,Rightside Window,Distracted Behavior,0:02:21,0:02:23,12,Hat
,Rightside Window,Distracted Behavior,0:02:41,0:02:47,14,Hat
,Rightside Window,Distracted Behavior,0:03:15,0:03:33,1,Hat
,Rightside Window,Distracted Behavior,0:03:37,0:04:00,15,Hat
,Rightside Window,Distracted Behavior,0:04:07,0:04:21,11,Hat
