User ID,Filename,Camera View,Activity Type,Start Time,End Time,Label,Appearance Block
42271,Dashboard_user_id_42271_3,Dashboard,Distracted Behavior,0:00:09,0:00:25,3,None
,,Dashboard,Distracted Behavior,0:00:35,0:00:53,6,None
,,Dashboard,Distracted Behavior,0:01:03,0:01:19,2,None
,,Dashboard,Distracted Behavior,0:01:30,0:01:53,14,None
,,Dashboard,Distracted Behavior,0:02:05,0:02:27,4,None
,,Dashboard,Distracted Behavior,0:02:35,0:02:59,5,None
,,Dashboard,Distracted Behavior,0:03:08,0:03:24,17,None
,,Dashboard,Distracted Behavior,0:03:35,0:03:55,16,None
,,Dashboard,Distracted Behavior,0:04:05,0:04:23,9,None
,,Dashboard,Distracted Behavior,0:04:33,0:04:54,15,None
,,Dashboard,Distracted Behavior,0:05:05,0:05:20,11,None
,,Dashboard,Distracted Behavior,0:05:30,0:05:46,13,None
,,Dashboard,Distracted Behavior,0:05:57,0:06:18,8,None
,,Dashboard,Distracted Behavior,0:06:28,0:06:45,1,None
,,Dashboard,Distracted Behavior,0:06:54,0:07:12,10,None
,,Dashboard,Distracted Behavior,0:07:20,0:07:50,0,None
,,Dashboard,Distracted Behavior,0:07:49,0:08:08,12,None
,,Dashboard,Distracted Behavior,0:08:17,0:08:40,7,None
,Dashboard_user_id_42271_4,Dashboard,Distracted Behavior,0:00:16,0:00:32,3,Glasses
,,Dashboard,Distracted Behavior,0:00:42,0:01:01,6,Glasses
,,Dashboard,Distracted Behavior,0:01:10,0:01:26,2,Glasses
,,Dashboard,Distracted Behavior,0:01:36,0:02:00,14,Glasses
,,Dashboard,Distracted Behavior,0:02:10,0:02:34,4,Glasses
,,Dashboard,Distracted Behavior,0:02:43,0:03:06,5,Glasses
,,Dashboard,Distracted Behavior,0:03:15,0:03:32,17,Glasses
,,Dashboard,Distracted Behavior,0:03:42,0:04:02,16,Glasses
,,Dashboard,Distracted Behavior,0:04:13,0:04:30,9,Glasses
,,Dashboard,Distracted Behavior,0:04:40,0:05:02,15,Glasses
,,Dashboard,Distracted Behavior,0:05:11,0:05:27,11,Glasses
,,Dashboard,Distracted Behavior,0:05:37,0:05:54,13,Glasses
,,Dashboard,Distracted Behavior,0:06:04,0:06:26,8,Glasses
,,Dashboard,Distracted Behavior,0:06:34,0:06:51,1,Glasses
,,Dashboard,Distracted Behavior,0:07:01,0:07:18,10,Glasses
,,Dashboard,Distracted Behavior,0:07:28,0:07:47,0,Glasses
,,Dashboard,Distracted Behavior,0:07:56,0:08:15,12,Glasses
,,Dashboard,Distracted Behavior,0:08:24,0:08:48,7,Glasses
,Right_side_window_user_id_42271_3,Right Side Window,Distracted Behavior,0:00:09,0:00:25,3,None
,,Right Side Window,Distracted Behavior,0:00:35,0:00:53,6,None
,,Right Side Window,Distracted Behavior,0:01:03,0:01:19,2,None
,,Right Side Window,Distracted Behavior,0:01:30,0:01:53,14,None
,,Right Side Window,Distracted Behavior,0:02:05,0:02:27,4,None
,,Right Side Window,Distracted Behavior,0:02:35,0:02:59,5,None
,,Right Side Window,Distracted Behavior,0:03:08,0:03:24,17,None
,,Right Side Window,Distracted Behavior,0:03:35,0:03:55,16,None
,,Right Side Window,Distracted Behavior,0:04:05,0:04:23,9,None
,,Right Side Window,Distracted Behavior,0:04:33,0:04:54,15,None
,,Right Side Window,Distracted Behavior,0:05:05,0:05:20,11,None
,,Right Side Window,Distracted Behavior,0:05:30,0:05:46,13,None
,,Right Side Window,Distracted Behavior,0:05:57,0:06:18,8,None
,,Right Side Window,Distracted Behavior,0:06:28,0:06:45,1,None
,,Right Side Window,Distracted Behavior,0:06:54,0:07:12,10,None
,,Right Side Window,Distracted Behavior,0:07:20,0:07:50,0,None
,,Right Side Window,Distracted Behavior,0:07:49,0:08:08,12,None
,,Right Side Window,Distracted Behavior,0:08:17,0:08:40,7,None
,Right_side_window_user_id_42271_4,Right Side Window,Distracted Behavior,0:00:16,0:00:32,3,Glasses
,,Right Side Window,Distracted Behavior,0:00:42,0:01:01,6,Glasses
,,Right Side Window,Distracted Behavior,0:01:10,0:01:26,2,Glasses
,,Right Side Window,Distracted Behavior,0:01:36,0:02:00,14,Glasses
,,Right Side Window,Distracted Behavior,0:02:10,0:02:34,4,Glasses
,,Right Side Window,Distracted Behavior,0:02:43,0:03:06,5,Glasses
,,Right Side Window,Distracted Behavior,0:03:15,0:03:32,17,Glasses
,,Right Side Window,Distracted Behavior,0:03:42,0:04:02,16,Glasses
,,Right Side Window,Distracted Behavior,0:04:13,0:04:30,9,Glasses
,,Right Side Window,Distracted Behavior,0:04:40,0:05:02,15,Glasses
,,Right Side Window,Distracted Behavior,0:05:11,0:05:27,11,Glasses
,,Right Side Window,Distracted Behavior,0:05:37,0:05:54,13,Glasses
,,Right Side Window,Distracted Behavior,0:06:04,0:06:26,8,Glasses
,,Right Side Window,Distracted Behavior,0:06:34,0:06:51,1,Glasses
,,Right Side Window,Distracted Behavior,0:07:01,0:07:18,10,Glasses
,,Right Side Window,Distracted Behavior,0:07:28,0:07:47,0,Glasses
,,Right Side Window,Distracted Behavior,0:07:56,0:08:15,12,Glasses
,,Right Side Window,Distracted Behavior,0:08:24,0:08:48,7,Glasses
,Rear_view_user_id_42271_3,Rearview,Distracted Behavior,0:00:09,0:00:25,3,None
,,Rearview,Distracted Behavior,0:00:35,0:00:53,6,None
,,Rearview,Distracted Behavior,0:01:03,0:01:19,2,None
,,Rearview,Distracted Behavior,0:01:30,0:01:53,14,None
,,Rearview,Distracted Behavior,0:02:05,0:02:27,4,None
,,Rearview,Distracted Behavior,0:02:35,0:02:59,5,None
,,Rearview,Distracted Behavior,0:03:08,0:03:24,17,None
,,Rearview,Distracted Behavior,0:03:35,0:03:55,16,None
,,Rearview,Distracted Behavior,0:04:05,0:04:23,9,None
,,Rearview,Distracted Behavior,0:04:33,0:04:54,15,None
,,Rearview,Distracted Behavior,0:05:05,0:05:20,11,None
,,Rearview,Distracted Behavior,0:05:30,0:05:46,13,None
,,Rearview,Distracted Behavior,0:05:57,0:06:18,8,None
,,Rearview,Distracted Behavior,0:06:28,0:06:45,1,None
,,Rearview,Distracted Behavior,0:06:54,0:07:12,10,None
,,Rearview,Distracted Behavior,0:07:20,0:07:50,0,None
,,Rearview,Distracted Behavior,0:07:49,0:08:08,12,None
,,Rearview,Distracted Behavior,0:08:17,0:08:40,7,None
,Rear_view_user_id_42271_4,Rearview,Distracted Behavior,0:00:16,0:00:32,3,Glasses
,,Rearview,Distracted Behavior,0:00:42,0:01:01,6,Glasses
,,Rearview,Distracted Behavior,0:01:10,0:01:26,2,Glasses
,,Rearview,Distracted Behavior,0:01:36,0:02:00,14,Glasses
,,Rearview,Distracted Behavior,0:02:10,0:02:34,4,Glasses
,,Rearview,Distracted Behavior,0:02:43,0:03:06,5,Glasses
,,Rearview,Distracted Behavior,0:03:15,0:03:32,17,Glasses
,,Rearview,Distracted Behavior,0:03:42,0:04:02,16,Glasses
,,Rearview,Distracted Behavior,0:04:13,0:04:30,9,Glasses
,,Rearview,Distracted Behavior,0:04:40,0:05:02,15,Glasses
,,Rearview,Distracted Behavior,0:05:11,0:05:27,11,Glasses
,,Rearview,Distracted Behavior,0:05:37,0:05:54,13,Glasses
,,Rearview,Distracted Behavior,0:06:04,0:06:26,8,Glasses
,,Rearview,Distracted Behavior,0:06:34,0:06:51,1,Glasses
,,Rearview,Distracted Behavior,0:07:01,0:07:18,10,Glasses
,,Rearview,Distracted Behavior,0:07:28,0:07:47,0,Glasses
,,Rearview,Distracted Behavior,0:07:56,0:08:15,12,Glasses
,,Rearview,Distracted Behavior,0:08:24,0:08:48,7,Glasses
